Pais,id_sede,red_social,url
United States,EEOEA,twitter,www.twitter.com/ARGenOEA
United States,EEOEA,youtube,www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured
Uruguay,CCOLO,facebook,https://www.facebook.com/ArgentinaenColonia
Uruguay,CMALD,facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
Uruguay,CMALD,instagram,https://www.instagram.com/consulado_argentino/
Uruguay,CMDEO,facebook,https://www.facebook.com/ArgentinaEnMontevideo/
Uruguay,CSLTO,desconocido,@consuladoargentinoensalto
Uruguay,EURUG,facebook,https://www.facebook.com/ArgentinaEnUru/
Uruguay,EURUG,instagram,https://www.instagram.com/argentinaenuru/
Uruguay,EURUG,twitter,https://twitter.com/ArgentinaEnUru
Viet Nam,EVIET,facebook,https://www.facebook.com/ArgentinaEnVietnam/
Viet Nam,EVIET,instagram,https://www.instagram.com/argenvietnam/
West Bank and Gaza,REPAL,facebook,https://www.facebook.com/ArgEnPalestina
